PLAYER NAME,FEDEX CUP POINTS,AVERAGE DRIVING DISTANCE,Strokes Gained Off the Tee,Strokes gained tee to green,Strokes gained approach to the green,Strokes gained around the green,Strokes gained putting,Strokes gained total,BIRDIE TO BOGEY RATIO,birdie or better % from the rough,Scrambling average distance to the hole,World Ranking,Scoring Average,Percent of Available Purse Won,Official Money Won,,,,,
Aaron Baddeley,167,291.6,-0.618,-0.184,0.021,0.424,-0.141,-0.315,1.28,24.58,7.08,136,71.94,0.48,388322 ,,,,,
Adam Hadwin,1198,292.6,0.223,0.856,0.735,0.101,0.586,1.645,2.09,16.98,8.25,46,69.948,2.95,2702158 ,,,,,
Adam Scott,334,304.3,0.356,0.772,0.342,0.074,0.162,0.934,1.58,20.37,8.25,10,70.001,1.57,891900 ,,,,,
Alex Cejka,146,280.6,0.124,-0.416,-0.444,0.178,-0.312,-0.453,1.26,16.16,6.50,186,71.588,0.34,285056 ,,,,,
Andres Gonzales,119,297.3,-0.526,-0.483,0.055,-0.012,0.538,0.056,1.5,18.4,8.50,278,71.283,0.28,204021 ,,,,,
Andrew Johnston,51,294.7,0.565,-0.331,0.044,-0.727,-0.942,-1.059,1.13,3.33,10.08,112,72.089,0.31,146339 ,,,,,
Andrew Loupe,73,311.8,-0.286,-1.356,-0.608,-0.48,0.054,-1.32,0.72,12.79,10.25,264,73.437,0.31,182000 ,,,,,
Anirban Lahiri,348,290.5,0.347,0.597,-0.014,0.098,-0.507,-0.076,1.63,19.77,7.25,81,70.378,1.28,772446 ,,,,,
Ben Crane,103,274.5,-0.379,-0.385,-0.164,0.053,-0.138,-0.628,1.18,8.06,7.17,430,71.466,0.28,238743 ,,,,,
Ben Martin,76,290.5,0.228,-0.461,-0.339,-0.368,-0.367,-0.846,1.07,11.54,10.83,236,71.982,0.18,153634 ,,,,,
Bill Haas,645,286.9,0.115,1.262,0.493,0.489,-0.01,1.087,1.78,19.77,6.83,40,69.973,2.07,1710596 ,,,,,
Billy Horschel,395,297.3,0.327,0.547,0.397,-0.324,0.004,0.405,1.46,10.07,8.33,75,70.631,1.12,905865 ,,,,,
Billy Hurley III,197,276.5,-0.468,-0.253,0.265,0.178,0.282,0.256,1.24,14.29,8.00,130,71.375,0.41,374789 ,,,,,
Blayne Barber,254,288.8,0.257,-0.184,-0.104,-0.251,0.417,0.319,1.38,9.09,8.58,220,71.066,0.64,534997 ,,,,,
Bobby Wyatt,6,292.9,-0.18,-1.012,-0.244,-0.588,-0.297,-1.309,1.06,7.69,10.25,568,72.877,0.03,15528 ,,,,,
Boo Weekley,42,290.3,0.512,0.292,0.393,-0.467,-1.192,-0.754,1.06,13.33,8.25,360,72.032,0.1,95612 ,,,,,
Brad Fritsch,49,286.3,-0.117,0.319,0.616,-0.18,-0.054,0.265,1.4,16.13,7.75,431,71.608,0.25,98950 ,,,,,
